SerialNum,Latitude,Longitude,Height
OC3CL200208,37.47981602,127.1353152,4.3
OC3CL200209,37.63440727,126.9152589,3.8
OC3CL200210,37.56938249,126.9784821,5.4
OC3CL200211,37.56921374,126.9821286,5
OC3CL200212,37.56604753,126.9773997,5.5
OC3CL200213,37.68427838,127.0552843,2.9
OC3CL200214,37.58068232,126.9536823,2.3
OC3CL200215,37.59082129,126.9409275,3.2
OC3CL200216,37.54884166,127.0604063,3.7
OC3CL200217,37.54889612,127.0629361,3.8
OC3CL200218,37.56005301,127.0410724,3.9
OC3CL200219,37.5722213,127.0135165,3.2
OC3CL200220,37.57698177,127.0024889,5
OC3CL200221,37.52846761,126.9701563,4.5
OC3CL200222,37.59447493,126.9941895,4.5
OC3CL200223,37.50265195,126.9810508,4
OC3CL200224,37.49975712,126.9910718,4
OC3CL200225,37.60952,127.072813,4.5
OC3CL200227,37.56124567,127.0394969,3
OC3CL200228,37.59116011,126.9430063,3.5
OC3CL200229,37.57294405,126.9555847,2.5
OC3CL210099,37.550423,127.138631,4.5
OC3CL210100,37.549909,127.137305,4.5
OC3CL210101,37.550622,127.140095,4.5
OC3CL210102,37.532029,127.132769,4.5
OC3CL210103,37.541089,127.129889,4.5
OC3CL210104,37.543161,127.131666,4.5
OC3CL210105,37.545103,127.133085,4.5
OC3CL210106,37.545721,127.133549,4.5
OC3CL210107,37.528351,127.130989,4.5
OC3CL210108,37.550701,127.143013,4.5
OC3CL210109,37.546531,127.134149,4.5
OC3CL210110,37.550796,127.141564,4.5
OC3CL210111,37.530749,127.132152,4.5
OC3CL210112,37.549217,127.136581,4.5
OC3CL210113,37.548443,127.135745,4.5
OC3CL210114,37.533958,127.133712,4.5
OC3CL210115,37.525606,127.129661,4.5
V02Q1940043,37.49002864,126.8835537,3.8
V02Q1940044,37.49183115,126.8891554,3.8
V02Q1940045,37.48958795,126.8764395,3.5
V02Q1940046,37.49440262,126.8314721,3.1
V02Q1940047,37.48214478,126.8893389,3.8
V02Q1940049,37.57668991,127.0362773,3.5
V02Q1940050,37.49954171,126.8507733,3.3
V02Q1940051,37.48455732,126.8537096,3.4
V02Q1940052,37.48718079,126.8896263,3.7
V02Q1940053,37.56504075,126.9788859,3.5
V02Q1940054,37.49049118,126.8553777,3.8
V02Q1940055,37.50111379,126.8923967,3.1
V02Q1940056,37.48743033,126.8385274,3.8
V02Q1940057,37.50526429,126.8451274,3.5
V02Q1940058,37.57977525,127.0620252,3.3
V02Q1940059,37.48952988,127.0753463,3.6
V02Q1940060,37.48339724,127.0862339,3
V02Q1940061,37.50527996,126.8746217,3
V02Q1940062,37.54882399,126.8434758,3.5
V02Q1940063,37.51606159,127.0618801,3.6
V02Q1940064,37.61107942,127.0555166,3.9
V02Q1940065,37.50568303,126.8586102,3.7
V02Q1940066,37.56721931,126.8475165,3.3
V02Q1940067,37.4543351,127.0618843,2.9
V02Q1940068,37.4913371,126.9923309,3.7
V02Q1940069,37.54980487,126.8702252,3.6
V02Q1940070,37.48683268,126.8237121,3.9
V02Q1940071,37.53623879,126.8242707,3.2
V02Q1940072,37.55183644,126.8458607,3.8
V02Q1940073,37.49382607,126.8840768,3.7
V02Q1940074,37.52031382,126.8969952,3.7
V02Q1940075,37.66738408,127.0534565,4.2
V02Q1940076,37.62202353,127.0774806,3.6
V02Q1940077,37.49095208,126.8965606,3.4
V02Q1940078,37.54254621,126.8403227,4.1
V02Q1940079,37.49410245,127.0822094,3.4
V02Q1940080,37.51310182,127.0458183,3.8
V02Q1940081,37.57132426,127.0510025,3.9
V02Q1940082,37.49550759,127.0857485,3.6
V02Q1940083,37.49137096,126.8607797,3.7
V02Q1940084,37.57837517,127.0624354,3.8
